Name,Date of Birth,Nationality,Role,Sex,Discipline 1,Discipline 2,Date of Infraction,Sanction,Ineligibility until,Period of Disqualification of results,Lifetime Ban?,Infraction Type,ADRV Rules,ADRV Notes,Description
 Maria ABAKUMOVA,15/01/1986,RUS,athlete,F,Javelin,Throws,21/08/2008,4 years ineligibility,17/05/2020,"From 21.08.08 to
20.08.12",No,Doping,"Presence,Use",Dehydrochloromethyltestos terone,"In competition test, XXIX Olympic games, Beijing, CHN"
 Ali ABDOSH,25/08/1987,ETH,athlete,M,,Long Distance (3000m+),24/12/2017,4 years ineligibility,04/02/2022,Since 24-12-2017,No,Doping,"Presence,Use",Salbutamol,"In competition test, 2017 Baoneng Guangzhou Huangpu Marathon , Guangzhou, CHN"
 Mounir ACHERKI,09/02/1981,FRA,athlete,M,1500m,Middle Distance (800m-1500m),01/01/2014,4 years ineligibility,15/04/2021,Since 01-01-2014,No,Doping,"Use,Possessio n","Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method, Possession of a","IAAF Rule 32.2(b) Use of a prohibited substance
IAAF Rule 32.2(f) Possession of a prohibited substance"
 Mariya ADAMCHUK,29/05/2000,UKR,athlete,F,Long Jump,Jumps,03/06/2018,4 years ineligibility,16/08/2022,Since 03.06.18,No,Doping,"Presence,Use","Trenbolone, DMBA & Methylhexaneamine","ICT, Ukrainian club U20 Championships', Lutsk, UKR"
 Kemi ADEKOYA,16/01/1993,BRN,athlete,F,"400m
Hurdles",Sprints (400m or less),24/08/2018,4 years ineligibility,25/11/2022,Since 24.08.18,No,Doping,"Presence,Use",Stanozolol,"Out-of-competition test, Jakarta, IDN"
 Tosin ADELOYE,07/02/1996,NGR,athlete,F,400m,Sprints (400m or less),24/07/2015,"8 years ineligibility (2nd
ADRV)",23/07/2023,Since 24-07-2015,No,Doping,"Presence,Use",Exogenous Steroids,"In competition test,  Warri Relays - CAA Super Grand Prix , Warri, NGR"
 Roland ADOK,29/10/1984,HUN,athlete,M,,Long Distance (3000m+),01/05/2019,2 years ineligibility,22/05/2021,Since 01.05.19,No,Doping,"Presence,Use",Clenbuterol,"ICT, Hungary 50km ultra running Championships 2019, Budakalasz,
HUN"
 Gulfiya AGAFONOVA KHANAFEYEVA,,RUS,athlete,F,Hammer,Throws,,8 years ineligibility,05/01/2025,"From 15.07.12 -
06.08.14",No,Doping,"Presence,Use",Dehydrochlormethyltestost erone; Use,"(Retesting) In competition test, XXX Olympic Games, London, GBR;
McLaren evidence"
 Belal AHMED,20/11/1986,EGY,athlete,M,,Long Distance (3000m+),27/09/2019,4 years ineligibility,03/12/2023,Since 27.09.19,No,Doping,"Presence,Use",EPO,"Out-of-competition test, Berlin, GER"
 Mehmet AKKOYUN,28/02/1989,TUR,athlete,M,,Long Distance (3000m+),11/08/2014,4 years ineligibility,07/02/2021,Since 11-08-2014,No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Karar A.M. AL ABBODY,08/08/1986,IRQ,athlete,M,400m,Sprints (400m or less),10/10/2015,4 years ineligibility,14/02/2020,Since 10-10-2015,No,Doping,"Presence,Use",Metandienone,"Out of competition test, IRQ"
 Saad Musleh Al BISHI,02/05/1986,KSA,athlete,M,Shot Put,Throws,06/02/2016,4 years ineligibility,02/03/2020,Since 05-02-2016,No,Doping,"Presence,Use",Amphetamine,"In competition test,  Federation Cup
, Jeddah, RSA"
 Abdullah (Hussain) AL KHALIFA,16/01/1994,KSA,athlete,M,Triple Jump,Jumps,04/03/2017,4 years ineligibility,03/04/2021,Since 4.3.17,No,Doping,"Presence,Use",Stanozolol,"In competition test, Kingdom 1st Class Championships Jeddah, KSA"
 Mohammad Yaseen AL-HASAN,30/08/1993,KSA,athlete,M,400m,Sprints (400m or less),05/02/2016,4 years ineligibility,16/09/2021,Since 05-02-2016,No,Doping,"Presence,Use",Oxandrolone,"In competition test, Federation Cup, Qatif, KSA"
 Rashed Saif AL-MEQBALI,24/08/1978,UAE,athlete,M,Shot Put,Throws,31/05/2014,8 years ineligibility,30/05/2022,Since 31-05-2014,No,Doping,"Presence,Use",Stanozolol,"Out of competition test, Dubai, UAE"
